Date,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,25-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23,26-Mar-23
Location,"Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas"
Site,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA
Observer,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon
Depth (m),<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Visibility (m),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Replicate,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
Interval,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0
Genus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Stethojulis,Pomacentrus,Pomacentrus,Pomacentrus,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Pomacentrus,Stegastes,Chrysiptera,Pomacentrus,Pomacentrus,Pomacentrus,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Plectroglyphidodon,Halichoeres,Halichoeres,Halichoeres,Halichoeres,Pomacentrus,Plectroglyphidodon,Plectroglyphidodon,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Chrysiptera,Pomacentrus,Thalassoma,Pomacentrus,Pomacentrus,Pomacentrus,Halichoeres,Acanthochromis,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Stethojulis,Zanclus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Pomacentrus,Plectroglyphidodon,Plectroglyphidodon,Stegastes
Species,moluccensis,moluccensis,adelus,adelus,adelus,strigiventer,vaiuli,vaiuli,vaiuli,dickii,dickii,dickii,dickii,dickii,dickii,bankanensis,fasciolatus,rex,coelestis,coelestis,vaiuli,dickii,dickii,dickii,dickii,marginatus,marginatus,marginatus,marginatus,bankanensis,lacrymatus,lacrymatus,adelus,adelus,adelus,coelestis,coelestis,rex,vaiuli,lunare,adelus,adelus,adelus,melanurus,polyacanthus,bankanensis,bankanensis,bankanensis,coelestis,coelestis,strigiventer,cornutus,vaiuli,vaiuli,adelus,adelus,adelus,lacrymatus,lacrymatus,fasciolatus
